"SUBJ_NO","SUBJ_NAME","SHORT","IS_TEST","DEFA_HOUR $Id: Y91S9417.CSV,v 1.1.2.1 2007-03-20 16:24:03 brucelyc Exp $"
101,"國文","國文",1,6
102,"英語","英語",1,4
201,"體育與健康教育","體健",1,3
202,"體育","體育",1,2
203,"健康教育","健教",1,1
301,"社會領域","社會",1,3
302,"地理","地理",1,1
303,"歷史","歷史",1,1
304,"公民","公民",1,1
401,"藝術與人文","藝文",1,3
402,"音樂","音樂",1,1
403,"視覺藝術(美術)","視覺",1,1
404,"表演藝術","表演",1,1
501,"自然與生活科技","自然",1,5
503,"生物","生物",1,3
504,"生活科技","生技",1,1
601,"數學","數學",1,5
701,"綜合活動","綜合",1,3
702,"家政","家政",1,1
703,"輔導活動","輔導",1,1
704,"童軍","童軍",1,1
801,"彈性課程","彈課",1,1
505,"資訊","電腦",1,1
